Day,Month,Year,date,Subways_Total_Estimated_Ridership,Subways_Percentage_of_Comparable_Pre_Pandemic_Day,Buses_Total_Estimated_Ridership,Buses_Percentage_of_Comparable_Pre_Pandemic_Day,LIRR_Total_Estimated_Ridership,LIRR_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Metro_North_Total_Estimated_Ridership,Metro_North_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Access_A_Ride_Total_Scheduled_Trips,Access_A_Ride_Percentage_of_Comprable_Pre_Pandemic_Day,Bridges_and_Tunnels_Total_Traffic,Bridges_and_Tunnels_Percentage_of_Comparable_Pre_Pandemic_Day
29,10,2020,10/29/2020,1708611,0.296,974119,0.448,"81,800",0.26,"60,300",0.21,"20,925",0.721,"776,467",0.876
28,10,2020,10/28/2020,1823028,0.303,1109591,0.47,"86,700",0.28,"64,000",0.22,"23,258",0.725,"801,966",0.866
27,10,2020,10/27/2020,1818884,0.304,1138746,0.49,"87,400",0.28,"64,400",0.22,"21,870",0.703,"789,371",0.864
26,10,2020,10/26/2020,1694080,0.294,1058119,0.456,"86,700",0.28,"64,800",0.22,"20,817",0.72,"760,604",0.832
25,10,2020,10/25/2020,885001,0.402,576930,0.662,"33,700",0.37,"45,000",0.43,"10,074",0.588,"725,809",0.934
24,10,2020,10/24/2020,1185612,0.355,780710,0.558,"43,600",0.38,"72,200",0.47,"12,916",0.724,"805,454",0.846
23,10,2020,10/23/2020,1846268,0.312,1128035,0.492,"89,900",0.29,"71,100",0.24,"21,766",0.722,"881,995",0.876
22,10,2020,10/22/2020,1829135,0.299,1146065,0.481,"88,700",0.28,"67,000",0.23,"22,391",0.697,"845,064",0.858
21,10,2020,10/21/2020,1816797,0.3,1147375,0.478,"86,200",0.27,"65,200",0.22,"22,959",0.701,"806,738",0.854
20,10,2020,10/20/2020,1784090,0.307,1127897,0.498,"86,600",0.28,"63,500",0.22,"21,936",0.731,"790,018",0.903
19,10,2020,10/19/2020,1722723,0.304,1104658,0.482,"89,200",0.28,"66,000",0.23,"20,812",0.757,"782,239",0.895
18,10,2020,10/18/2020,897886,0.369,585376,0.598,"34,700",0.38,"48,700",0.46,"9,998",0.537,"752,262",0.902
17,10,2020,10/17/2020,1211061,0.36,780003,0.564,"43,800",0.39,"70,500",0.46,"11,831",0.67,"794,520",0.833
16,10,2020,10/16/2020,1674686,0.279,986166,0.432,"83,800",0.27,"64,900",0.22,"20,776",0.69,"820,106",0.797
15,10,2020,10/15/2020,1857822,0.305,1154164,0.498,"90,300",0.29,"67,700",0.23,"22,834",0.728,"866,245",0.893
14,10,2020,10/14/2020,1842638,0.315,1161893,0.529,"89,200",0.28,"66,700",0.23,"23,169",0.745,"824,529",0.907
13,10,2020,10/13/2020,1718853,0.292,1067179,0.454,"76,600",0.24,"62,700",0.22,"20,909",0.69,"765,671",0.837
12,10,2020,10/12/2020,1286892,0.302,770512,0.471,"76,800",0.24,"59,300",0.2,"15,722",0.826,"685,982",0.804
11,10,2020,10/11/2020,849518,0.319,564046,0.523,"34,600",0.38,"45,700",0.43,"9,470",0.512,"692,669",0.774
10,10,2020,10/10/2020,1171657,0.359,770914,0.559,"44,500",0.39,"77,300",0.51,"12,627",0.722,"823,775",0.876
9,10,2020,10/9/2020,1811779,0.309,1114870,0.489,"78,700",0.25,"72,400",0.25,"21,274",0.713,"896,404",0.869
8,10,2020,10/8/2020,1801918,0.298,1128062,0.475,"88,000",0.28,"65,600",0.23,"21,964",0.698,"845,788",0.87
7,10,2020,10/7/2020,1774408,0.363,1124542,0.613,"87,100",0.28,"64,300",0.22,"23,027",0.823,"814,866",1
6,10,2020,10/6/2020,1762320,0.308,1133242,0.491,"87,700",0.28,"65,100",0.22,"21,475",0.706,"802,900",0.914
5,10,2020,10/5/2020,1682379,0.294,1092193,0.465,"88,700",0.28,"62,900",0.22,"19,971",0.685,"783,540",0.867
4,10,2020,10/4/2020,853591,0.339,566754,0.527,"35,000",0.38,"43,900",0.42,"10,010",0.52,"706,562",0.812
3,10,2020,10/3/2020,1168073,0.35,773305,0.549,"45,000",0.4,"68,900",0.45,"12,759",0.72,"810,626",0.866
2,10,2020,10/2/2020,1794201,0.299,1109459,0.475,"87,300",0.28,"67,100",0.23,"21,626",0.724,"891,268",0.887
1,10,2020,10/1/2020,1813961,0.301,1150563,0.498,"86,100",0.27,"62,100",0.21,"22,309",0.706,"870,606",0.929
30,9,2020,9/30/2020,1744524,0.293,1077000,0.45,"89,200",0.27,"61,500",0.21,"21,424",0.69,"822,683",0.889
29,9,2020,9/29/2020,1664896,0.321,1023100,0.5,"88,400",0.27,"59,700",0.21,"20,517",0.736,"790,861",0.905
28,9,2020,9/28/2020,1492611,0.313,955300,0.5,"89,700",0.27,"63,800",0.22,"17,678",0.741,"753,159",0.867
27,9,2020,9/27/2020,846184,0.333,586900,0.54,"40,000",0.4,"45,200",0.43,"9,491",0.507,"731,091",0.796
26,9,2020,9/26/2020,1120175,0.349,756300,0.54,"47,200",0.4,"66,800",0.44,"12,128",0.712,"824,515",0.849
25,9,2020,9/25/2020,1765299,0.3,1077600,0.47,"92,500",0.28,"67,900",0.24,"21,233",0.741,"912,599",0.893
24,9,2020,9/24/2020,1726180,0.285,1070500,0.45,"89,100",0.27,"62,400",0.22,"21,554",0.704,"857,578",0.881
23,9,2020,9/23/2020,1739043,0.287,1093600,0.45,"89,000",0.27,"62,300",0.22,"22,501",0.708,"834,469",0.88
22,9,2020,9/22/2020,1702325,0.283,1061900,0.45,"87,400",0.27,"61,000",0.21,"21,103",0.702,"808,351",0.876
21,9,2020,9/21/2020,1627636,0.283,1021200,0.44,"89,700",0.27,"61,800",0.21,"19,488",0.695,"788,505",0.854
20,9,2020,9/20/2020,828365,0.317,585500,0.52,"39,000",0.39,"41,800",0.4,"9,269",0.495,"705,596",0.755
19,9,2020,9/19/2020,1137948,0.342,761600,0.53,"46,800",0.4,"64,600",0.42,"12,246",0.693,"802,614",0.825
18,9,2020,9/18/2020,1728810,0.289,1074200,0.46,"90,700",0.28,"65,700",0.23,"20,702",0.717,"894,931",0.882
17,9,2020,9/17/2020,1695985,0.281,1060400,0.44,"86,900",0.27,"61,500",0.21,"21,005",0.678,"848,024",0.865
16,9,2020,9/16/2020,1690405,0.282,1075300,0.44,"87,000",0.27,"60,700",0.21,"22,070",0.687,"816,708",0.864
15,9,2020,9/15/2020,1681774,0.282,1087600,0.45,"87,000",0.27,"60,800",0.21,"20,763",0.676,"815,700",0.876
14,9,2020,9/14/2020,1607896,0.283,1044500,0.44,"89,500",0.27,"60,900",0.21,"19,888",0.704,"799,573",0.861
13,9,2020,9/13/2020,796744,0.311,577400,0.52,"36,700",0.37,"38,100",0.36,"9,315",0.504,"703,809",0.765
12,9,2020,9/12/2020,1083727,0.346,759700,0.55,"44,500",0.38,"60,500",0.4,"12,349",0.731,"800,190",0.852
11,9,2020,9/11/2020,1693776,0.288,1072600,0.46,"88,600",0.27,"65,100",0.23,"20,809",0.706,"895,766",0.881
10,9,2020,9/10/2020,1547065,0.26,989000,0.41,"82,100",0.25,"57,100",0.2,"20,181",0.649,"801,431",0.825
9,9,2020,9/9/2020,1613662,0.271,1081700,0.44,"86,100",0.26,"61,500",0.21,"21,801",0.691,"825,412",0.881
8,9,2020,9/8/2020,1559312,0.264,1032900,0.43,"90,600",0.28,"63,300",0.22,"19,806",0.638,"833,996",0.899
7,9,2020,9/7/2020,872174,0.391,650300,0.69,"80,000",0.24,"40,300",0.14,"9,261",0.97,"697,865",0.76
6,9,2020,9/6/2020,819600,0.326,580400,0.53,"44,700",0.45,"45,400",0.43,"10,160",0.537,"753,036",0.838
5,9,2020,9/5/2020,1013746,0.315,740100,0.52,"50,500",0.43,"64,700",0.42,"12,118",0.715,"798,823",0.855
4,9,2020,9/4/2020,1571533,0.279,1034500,0.48,"88,300",0.27,"64,200",0.22,"20,223",0.704,"936,602",0.964
3,9,2020,9/3/2020,1532512,0.266,1030700,0.45,"82,600",0.25,"58,000",0.2,"19,992",0.66,"869,126",0.909
2,9,2020,9/2/2020,1491161,0.271,994000,0.46,"77,600",0.24,"53,000",0.18,"19,990",0.656,"810,144",0.864
1,9,2020,9/1/2020,1472491,0.277,996600,0.47,"76,500",0.23,"53,100",0.18,"18,929",0.661,"809,685",0.851
31,8,2020,8/31/2020,1400448,0.264,987400,0.46,"78,100",0.25,"52,700",0.19,"18,185",0.635,"817,544",1.103
30,8,2020,8/30/2020,748886,0.3,822300,0.76,"45,100",0.43,"41,600",0.4,"9,752",0.521,"805,096",0.898
29,8,2020,8/29/2020,774465,0.266,892800,0.67,"37,600",0.28,"41,300",0.27,"9,814",0.6,"645,956",0.686
28,8,2020,8/28/2020,1391299,0.283,1333400,0.67,"76,100",0.24,"53,100",0.19,"18,845",0.705,"899,892",0.87
27,8,2020,8/27/2020,1361128,0.258,1274100,0.61,"73,100",0.23,"48,800",0.18,"19,271",0.689,"847,285",0.83
26,8,2020,8/26/2020,1410651,0.271,1361400,0.67,"76,600",0.24,"50,800",0.19,"20,659",0.712,"859,625",0.91
25,8,2020,8/25/2020,1349335,0.259,1273400,0.62,"73,300",0.23,"49,700",0.18,"18,682",0.663,"821,597",0.873
24,8,2020,8/24/2020,1310101,0.269,1270700,0.66,"75,100",0.24,"50,100",0.18,"17,643",0.695,"815,665",0.881
23,8,2020,8/23/2020,672193,0.288,783200,0.71,"37,900",0.36,"35,300",0.34,"8,297",0.468,"737,097",0.794
22,8,2020,8/22/2020,883393,0.304,998700,0.73,"49,100",0.37,"51,600",0.34,"11,456",0.693,"812,308",0.825
21,8,2020,8/21/2020,1390232,0.285,1335800,0.7,"76,100",0.24,"53,000",0.19,"19,035",0.703,"909,773",0.899
20,8,2020,8/20/2020,1413449,0.277,1352700,0.68,"75,600",0.24,"50,900",0.19,"19,344",0.683,"889,782",0.893
19,8,2020,8/19/2020,1294931,0.255,1212800,0.61,"70,100",0.22,"47,700",0.17,"19,915",0.683,"816,805",0.858
18,8,2020,8/18/2020,1372568,0.269,1307400,0.65,"74,200",0.24,"47,900",0.18,"19,274",0.681,"838,008",0.88
17,8,2020,8/17/2020,1307543,0.271,1275000,0.66,"74,500",0.24,"49,400",0.18,"17,377",0.669,"806,108",0.857
16,8,2020,8/16/2020,554980,0.244,622000,0.57,"29,900",0.29,"28,500",0.27,"7,902",0.441,"620,686",0.681
15,8,2020,8/15/2020,861763,0.301,1001000,0.72,"46,800",0.35,"51,400",0.34,"11,487",0.692,"804,346",0.849
14,8,2020,8/14/2020,1358798,0.271,1321800,0.67,"72,900",0.23,"50,700",0.19,"18,113",0.669,"893,657",0.886
13,8,2020,8/13/2020,1294248,0.243,1198800,0.58,"69,200",0.22,"46,500",0.17,"18,608",0.646,"819,019",0.821
12,8,2020,8/12/2020,1302087,0.248,1227500,0.61,"68,300",0.22,"46,800",0.17,"19,346",0.645,"800,865",0.846
11,8,2020,8/11/2020,1322978,0.257,1256400,0.64,"72,400",0.23,"46,700",0.17,"18,546",0.658,"821,976",0.907
10,8,2020,8/10/2020,1278263,0.254,1243700,0.63,"73,500",0.24,"46,800",0.17,"18,178",0.694,"826,001",0.873
9,8,2020,8/9/2020,663642,0.268,766700,0.7,"37,600",0.36,"32,200",0.31,"8,287",0.465,"744,618",0.814
8,8,2020,8/8/2020,834093,0.276,962000,0.7,"41,700",0.31,"43,600",0.29,"10,613",0.624,"730,739",0.747
7,8,2020,8/7/2020,1286635,0.249,1256300,0.62,"66,000",0.21,"42,400",0.16,"17,502",0.639,"844,097",0.825
6,8,2020,8/6/2020,1337819,0.246,1241800,0.59,"66,700",0.21,"38,800",0.14,"19,117",0.658,"847,497",0.847
5,8,2020,8/5/2020,1351026,0.257,1305000,0.66,"58,000",0.19,"36,900",0.14,"18,299",0.623,"847,330",0.925
4,8,2020,8/4/2020,1028686,0.192,968100,0.46,"36,800",0.12,"31,100",0.11,"14,924",0.512,"577,415",0.618
3,8,2020,8/3/2020,1275951,0.248,1268300,0.62,"70,800",0.23,"45,900",0.17,"17,594",0.656,"818,732",0.87
2,8,2020,8/2/2020,590675,0.241,707000,0.62,"30,500",0.29,"28,100",0.27,"7,431",0.402,"648,735",0.701
1,8,2020,8/1/2020,843372,0.28,969300,0.69,"44,400",0.33,"48,700",0.32,"10,685",0.641,"799,745",0.852
31,7,2020,7/31/2020,1260968,0.241,1220700,0.6,"67,600",0.21,"50,900",0.18,"17,654",0.645,"859,774",0.843
30,7,2020,7/30/2020,1272918,0.233,1224100,0.57,"69,000",0.22,"48,600",0.17,"17,333",0.599,"820,275",0.812
29,7,2020,7/29/2020,1298880,0.242,1273100,0.62,"70,000",0.22,"48,500",0.17,"18,216",0.618,"816,959",0.865
28,7,2020,7/28/2020,1244405,0.23,1210600,0.57,"66,700",0.21,"45,800",0.16,"16,892",0.583,"782,226",0.825
27,7,2020,7/27/2020,1206129,0.234,1185000,0.57,"70,100",0.22,"45,700",0.16,"16,607",0.629,"793,225",0.841
26,7,2020,7/26/2020,607452,0.249,721100,0.64,"36,200",0.35,"32,300",0.3,"7,429",0.41,"697,533",0.733
25,7,2020,7/25/2020,817403,0.268,967300,0.69,"43,300",0.34,"47,600",0.31,"10,350",0.613,"769,898",0.782
24,7,2020,7/24/2020,1220649,0.23,1134300,0.56,"65,900",0.21,"49,000",0.17,"17,311",0.627,"826,030",0.796
23,7,2020,7/23/2020,1236427,0.222,1180200,0.55,"65,600",0.21,"47,000",0.17,"17,056",0.581,"791,577",0.781
22,7,2020,7/22/2020,1236384,0.221,1189100,0.54,"65,300",0.21,"46,700",0.17,"17,582",0.579,"784,013",0.801
21,7,2020,7/21/2020,1244544,0.236,1204300,0.59,"67,600",0.21,"48,000",0.17,"16,831",0.579,"792,955",0.867
20,7,2020,7/20/2020,1159163,0.229,1130400,0.57,"67,700",0.21,"46,800",0.17,"15,957",0.606,"770,607",0.844
19,7,2020,7/19/2020,585498,0.269,692800,0.67,"36,400",0.35,"29,900",0.28,"7,052",0.456,"696,110",0.797
18,7,2020,7/18/2020,779722,0.295,913700,0.72,"41,200",0.32,"45,500",0.29,"9,785",0.652,"747,445",0.808
17,7,2020,7/17/2020,1209692,0.232,1176200,0.57,"64,800",0.2,"47,400",0.17,"16,401",0.608,"819,471",0.797
16,7,2020,7/16/2020,1251884,0.231,1211800,0.59,"66,700",0.21,"47,400",0.17,"17,230",0.595,"819,850",0.838
15,7,2020,7/15/2020,1251164,0.228,1229000,0.58,"66,500",0.21,"46,900",0.17,"18,149",0.595,"803,399",0.848
14,7,2020,7/14/2020,1243749,0.224,1211300,0.56,"66,300",0.21,"46,200",0.16,"17,081",0.569,"794,838",0.831
13,7,2020,7/13/2020,1178204,0.222,1144100,0.55,"66,400",0.21,"46,200",0.16,"15,928",0.59,"756,123",0.796
12,7,2020,7/12/2020,628918,0.258,727700,0.64,"34,900",0.33,"31,800",0.3,"7,395",0.411,"703,590",0.741
11,7,2020,7/11/2020,693789,0.229,852600,0.59,"30,100",0.24,"35,300",0.23,"8,453",0.493,"625,288",0.629
10,7,2020,7/10/2020,1032749,0.191,926800,0.45,"55,900",0.18,"39,700",0.14,"15,738",0.566,"712,635",0.7
9,7,2020,7/9/2020,1213851,0.221,1195700,0.57,"65,500",0.21,"45,500",0.16,"17,017",0.574,"818,034",0.843
8,7,2020,7/8/2020,1174733,0.211,1114900,0.51,"63,000",0.2,"43,400",0.15,"16,980",0.565,"758,208",0.791
7,7,2020,7/7/2020,1159588,0.212,1118800,0.52,"61,800",0.2,"44,100",0.16,"16,003",0.537,"749,833",0.79
6,7,2020,7/6/2020,1087178,0.212,1030200,0.5,"63,900",0.2,"44,300",0.16,"14,886",0.55,"750,584",0.812
5,7,2020,7/5/2020,534220,0.231,658700,0.6,"34,600",0.33,"30,600",0.29,"6,280",0.347,"659,099",0.752
4,7,2020,7/4/2020,592295,0.228,754900,0.59,"38,400",0.3,"41,800",0.27,"8,391",0.579,"569,212",0.717
3,7,2020,7/3/2020,853015,0.313,968200,0.87,"56,200",0.18,"42,900",0.15,"10,915",0.838,"713,240",0.834
2,7,2020,7/2/2020,1172848,0.224,1178500,0.57,"64,300",0.2,"45,500",0.16,"15,981",0.534,"881,471",1.146
1,7,2020,7/1/2020,1122842,0.215,1102200,0.53,"56,500",0.18,"40,000",0.14,"16,451",0.55,"779,409",0.772
30,6,2020,6/30/2020,1115510,0.209,1082000,0.52,"58,000",0.17,"40,900",0.14,"15,291",0.518,"758,785",0.801
29,6,2020,6/29/2020,1103086,0.212,1087500,0.53,"63,300",0.19,"42,600",0.14,"14,705",0.552,"767,165",0.801
28,6,2020,6/28/2020,536488,0.177,641800,0.58,"25,700",0.26,"26,200",0.24,"5,748",0.337,"623,131",0.668
27,6,2020,6/27/2020,616084,0.193,753900,0.57,"26,800",0.22,"34,800",0.22,"8,541",0.531,"630,731",0.652
26,6,2020,6/26/2020,1104497,0.202,1130100,0.57,"55,600",0.17,"41,500",0.14,"15,048",0.54,"830,887",0.795
25,6,2020,6/25/2020,1081006,0.191,1088500,0.52,"53,400",0.16,"38,200",0.13,"14,854",0.502,"781,618",0.748
24,6,2020,6/24/2020,1070527,0.185,1099900,0.49,"52,400",0.16,"38,000",0.13,"15,155",0.493,"752,750",0.741
23,6,2020,6/23/2020,1053005,0.19,1086200,0.52,"52,900",0.16,"37,600",0.13,"15,069",0.505,"744,822",0.779
22,6,2020,6/22/2020,1002073,0.185,1016200,0.48,"53,900",0.16,"38,400",0.13,"13,314",0.49,"733,291",0.748
21,6,2020,6/21/2020,449497,0.171,592400,0.53,"27,100",0.28,"27,600",0.25,"6,328",0.338,"654,914",0.676
20,6,2020,6/20/2020,576097,0.174,768500,0.55,"29,000",0.24,"36,000",0.23,"8,185",0.47,"666,226",0.664
19,6,2020,6/19/2020,988680,0.178,1035300,0.55,"50,200",0.15,"38,800",0.13,"13,868",0.486,"797,519",0.777
18,6,2020,6/18/2020,944318,0.166,977700,0.48,"47,900",0.14,"35,800",0.12,"13,808",0.461,"729,487",0.73
17,6,2020,6/17/2020,950318,0.166,977200,0.45,"47,200",0.14,"36,300",0.12,"14,595",0.468,"709,680",0.732
16,6,2020,6/16/2020,934545,0.167,961000,0.46,"46,900",0.14,"34,100",0.12,"12,939",0.429,"695,359",0.747
15,6,2020,6/15/2020,898925,0.165,940900,0.43,"47,500",0.14,"34,500",0.12,"12,953",0.475,"674,785",0.71
14,6,2020,6/14/2020,430446,0.185,571200,0.55,"20,900",0.21,"22,700",0.21,"5,195",0.279,"563,725",0.605
13,6,2020,6/13/2020,545333,0.17,706800,0.5,"25,400",0.21,"32,400",0.2,"7,794",0.434,"631,065",0.625
12,6,2020,6/12/2020,898314,0.157,966300,0.43,"45,100",0.14,"33,700",0.11,"13,224",0.458,"765,492",0.735
11,6,2020,6/11/2020,819873,0.144,830100,0.38,"41,000",0.12,"29,100",0.1,"12,514",0.424,"656,696",0.676
10,6,2020,6/10/2020,858782,0.146,914700,0.39,"43,100",0.13,"30,800",0.1,"13,616",0.425,"680,270",0.694
9,6,2020,6/9/2020,843968,0.147,916900,0.41,"42,300",0.13,"29,500",0.1,"12,869",0.438,"680,462",0.709
8,6,2020,6/8/2020,806138,0.153,863400,0.42,"42,600",0.13,"30,500",0.1,"11,957",0.459,"644,830",0.735
7,6,2020,6/7/2020,378085,0.146,531900,0.49,"16,800",0.17,"18,500",0.17,"4,650",0.259,"538,419",0.604
6,6,2020,6/6/2020,464207,0.142,648000,0.46,"18,100",0.15,"23,600",0.15,"6,591",0.369,"551,793",0.57
5,6,2020,6/5/2020,704825,0.124,772900,0.35,"33,500",0.1,"25,200",0.09,"11,698",0.405,"643,562",0.624
4,6,2020,6/4/2020,728018,0.127,797700,0.37,"29,800",0.09,"25,500",0.09,"12,000",0.402,"650,868",0.648
3,6,2020,6/3/2020,683037,0.119,741200,0.32,"32,500",0.1,"23,500",0.08,"11,962",0.387,"582,624",0.603
2,6,2020,6/2/2020,695276,0.126,724400,0.34,"33,800",0.1,"24,600",0.08,"11,206",0.378,"579,412",0.609
1,6,2020,6/1/2020,688520,0.124,764300,0.34,"34,300",0.1,"24,500",0.08,"10,760",0.378,"595,060",0.622
31,5,2020,5/31/2020,344428,0.136,468300,0.43,"13,600",0.14,"14,700",0.14,"4,216",0.233,"495,488",0.553
30,5,2020,5/30/2020,426755,0.135,622000,0.44,"15,600",0.13,"20,300",0.13,"6,143",0.354,"537,180",0.556
29,5,2020,5/29/2020,658353,0.114,720800,0.33,"25,100",0.08,"21,200",0.07,"10,185",0.365,"598,608",0.57
28,5,2020,5/28/2020,659248,0.115,710800,0.32,"25,200",0.08,"20,400",0.07,"10,030",0.35,"584,629",0.599
27,5,2020,5/27/2020,675705,0.119,719200,0.33,"26,500",0.08,"21,000",0.07,"11,088",0.377,"601,140",0.634
26,5,2020,5/26/2020,657939,0.121,709000,0.33,"26,700",0.08,"21,800",0.08,"9,875",0.349,"587,270",0.634
25,5,2020,5/25/2020,394359,0.151,531600,0.46,"19,300",0.06,"19,000",0.07,"5,428",0.503,"445,015",0.565
24,5,2020,5/24/2020,320376,0.126,461200,0.43,"11,900",0.12,"14,100",0.14,"4,117",0.223,"461,171",0.526
23,5,2020,5/23/2020,336250,0.112,460700,0.35,"11,000",0.09,"14,000",0.09,"5,550",0.35,"394,091",0.436
22,5,2020,5/22/2020,634929,0.117,690200,0.31,"22,800",0.07,"19,900",0.07,"9,782",0.352,"626,984",0.596
21,5,2020,5/21/2020,630367,0.111,655300,0.3,"22,600",0.07,"19,200",0.07,"9,731",0.327,"585,553",0.578
20,5,2020,5/20/2020,624793,0.106,654800,0.28,"22,200",0.07,"18,500",0.06,"10,224",0.327,"542,409",0.547
19,5,2020,5/19/2020,611951,0.104,643600,0.28,"21,600",0.07,"18,700",0.07,"9,290",0.309,"524,483",0.541
18,5,2020,5/18/2020,596505,0.107,624200,0.28,"22,100",0.07,"19,200",0.07,"8,969",0.325,"505,315",0.523
17,5,2020,5/17/2020,287755,0.11,413500,0.37,"8,800",0.09,"3,300",0.03,"3,577",0.191,"391,606",0.413
16,5,2020,5/16/2020,361329,0.106,530600,0.37,"11,100",0.09,"18,400",0.12,"5,947",0.337,"477,098",0.479
15,5,2020,5/15/2020,588784,0.103,671500,0.3,"20,100",0.06,"45,300",0.16,"9,473",0.331,"562,991",0.534
14,5,2020,5/14/2020,568315,0.096,616000,0.26,"19,300",0.06,"16,400",0.06,"8,855",0.294,"520,395",0.51
13,5,2020,5/13/2020,566333,0.096,611300,0.26,"19,400",0.06,"17,200",0.06,"9,437",0.295,"509,243",0.521
12,5,2020,5/12/2020,554286,0.096,594900,0.26,"19,000",0.06,"16,700",0.06,"8,271",0.279,"488,406",0.521
11,5,2020,5/11/2020,521702,0.096,553300,0.26,"18,300",0.06,"16,700",0.06,"7,636",0.29,"458,042",0.506
10,5,2020,5/10/2020,272353,0.131,386000,0.46,"8,000",0.08,"9,200",0.09,"3,962",0.202,"415,868",0.488
9,5,2020,5/9/2020,317372,0.099,462400,0.32,"7,700",0.06,"11,100",0.07,"5,055",0.278,"371,426",0.374
8,5,2020,5/8/2020,526865,0.093,573700,0.25,"15,700",0.05,"15,200",0.05,"8,656",0.304,"483,831",0.474
7,5,2020,5/7/2020,536003,0.091,605600,0.26,"16,100",0.05,"16,200",0.06,"8,509",0.276,"488,836",0.495
6,5,2020,5/6/2020,509646,0.087,538800,0.22,"14,500",0.05,"14,700",0.05,"8,832",0.277,"444,179",0.462
5,5,2020,5/5/2020,522979,0.09,583400,0.25,"13,300",0.04,"15,500",0.05,"8,445",0.273,"462,086",0.494
4,5,2020,5/4/2020,512763,0.091,578300,0.25,"11,200",0.03,"15,800",0.06,"8,287",0.293,"447,424",0.482
3,5,2020,5/3/2020,259199,0.111,375900,0.45,"3,300",0.03,"7,600",0.07,"3,263",0.186,"353,314",0.443
2,5,2020,5/2/2020,326354,0.101,478600,0.34,"4,000",0.03,"10,900",0.07,"5,493",0.312,"401,938",0.43
1,5,2020,5/1/2020,495312,0.086,555300,0.25,"6,200",0.02,"12,400",0.04,"8,332",0.29,"445,621",0.441
30,4,2020,4/30/2020,466633,0.079,488800,0.21,"9,300",0.03,"14,400",0.05,"7,253",0.245,"405,169",0.412
29,4,2020,4/29/2020,478589,0.082,519600,0.22,"9,100",0.03,"14,800",0.05,"7,844",0.255,"410,502",0.431
28,4,2020,4/28/2020,490073,0.085,555600,0.24,"9,200",0.03,"15,400",0.05,"7,542",0.255,"436,347",0.47
27,4,2020,4/27/2020,463700,0.083,518400,0.23,"8,800",0.03,"15,000",0.05,"6,922",0.254,"384,124",0.424
26,4,2020,4/26/2020,219096,0.091,293500,0.3,"1,900",0.02,"5,400",0.05,"2,506",0.143,"231,541",0.276
25,4,2020,4/25/2020,295836,0.091,430800,0.32,"2,900",0.03,"9,100",0.06,"4,719",0.288,"350,300",0.38
24,4,2020,4/24/2020,444644,0.088,475400,0.27,"7,800",0.03,"13,200",0.05,"7,040",0.277,"386,935",0.429
23,4,2020,4/23/2020,454300,0.083,487300,0.25,"8,400",0.03,"13,800",0.05,"6,969",0.249,"386,938",0.411
22,4,2020,4/22/2020,459574,0.085,518900,0.26,"8,700",0.03,"14,100",0.05,"7,496",0.256,"398,703",0.423
21,4,2020,4/21/2020,422860,0.078,450900,0.22,"8,300",0.03,"13,700",0.05,"6,613",0.239,"356,099",0.382
20,4,2020,4/20/2020,438622,0.089,498700,0.27,"8,900",0.03,"14,800",0.05,"7,050",0.295,"371,776",0.404
19,4,2020,4/19/2020,224751,0.096,318100,0.32,"2,200",0.02,"6,000",0.06,"2,742",0.142,"276,406",0.314
18,4,2020,4/18/2020,254792,0.09,352000,0.29,"2,400",0.02,"7,200",0.05,"4,202",0.284,"254,735",0.302
17,4,2020,4/17/2020,433106,0.091,470300,0.27,"8,300",0.03,"13,500",0.05,"7,048",0.288,"378,350",0.392
16,4,2020,4/16/2020,421013,0.071,447000,0.2,"8,500",0.03,"13,800",0.05,"6,563",0.222,"346,342",0.346
15,4,2020,4/15/2020,419851,0.07,454100,0.19,"8,600",0.03,"13,800",0.05,"6,928",0.22,"340,213",0.351
14,4,2020,4/14/2020,430946,0.073,470900,0.2,"8,800",0.03,"14,100",0.05,"6,585",0.219,"356,104",0.376
13,4,2020,4/13/2020,363961,0.065,347800,0.16,"8,200",0.03,"13,000",0.05,"6,205",0.222,"284,609",0.313
12,4,2020,4/12/2020,198693,0.08,279100,0.28,"2,200",0.02,"5,100",0.05,"2,525",0.136,"217,871",0.256
11,4,2020,4/11/2020,257467,0.078,378200,0.27,"2,700",0.02,"7,600",0.05,"4,235",0.24,"254,755",0.269
10,4,2020,4/10/2020,400947,0.07,414100,0.19,"8,200",0.03,"13,000",0.05,"5,378",0.185,"314,100",0.314
9,4,2020,4/9/2020,405325,0.07,401900,0.17,"8,400",0.03,"12,900",0.04,"6,243",0.199,"303,481",0.312
8,4,2020,4/8/2020,428206,0.073,431700,0.18,"9,000",0.03,"13,500",0.05,"6,950",0.217,"324,882",0.342
7,4,2020,4/7/2020,435718,0.076,441000,0.19,"9,300",0.03,"14,100",0.05,"7,041",0.233,"335,470",0.367
6,4,2020,4/6/2020,446273,0.08,454900,0.2,"10,100",0.03,"14,400",0.05,"7,093",0.25,"335,769",0.369
5,4,2020,4/5/2020,227603,0.091,299600,0.3,"3,000",0.03,"5,600",0.05,"2,763",0.144,"209,152",0.234
4,4,2020,4/4/2020,282703,0.086,383400,0.27,"3,700",0.03,"8,100",0.05,"4,375",0.245,"243,323",0.26
3,4,2020,4/3/2020,484200,0.085,483800,0.22,"9,700",0.03,"13,200",0.05,"7,794",0.273,"340,273",0.349
