Test_Date,County_Code,Positive_Cases,Total_Tests
2020-04-10,36085,378,809
2020-04-11,36005,969,2087
2020-04-11,36047,1251,2703
2020-04-11,36061,705,1774
2020-04-11,36081,1583,3271
2020-04-11,36085,459,1037
2020-04-12,36005,763,1616
2020-04-12,36047,934,2020
2020-04-12,36061,355,1035
2020-04-12,36081,1199,2560
2020-04-12,36085,353,889
2020-04-13,36005,1062,2292
2020-04-13,36047,908,2060
2020-04-13,36061,381,1213
2020-04-13,36081,1081,2450
2020-04-13,36085,294,731
2020-04-14,36005,1422,2686
2020-04-14,36047,2592,4981
2020-04-14,36061,1735,4067
2020-04-14,36081,1777,3704
2020-04-14,36085,345,756
2020-04-15,36005,1286,2953
2020-04-15,36047,1564,3751
2020-04-15,36061,477,1530
2020-04-15,36081,1179,3177
2020-04-15,36085,386,1189
2020-04-16,36005,1098,2796
2020-04-16,36047,1186,3357
2020-04-16,36061,403,1476
2020-04-16,36081,1202,3121
2020-04-16,36085,348,1089
2020-04-17,36005,1005,2628
2020-04-17,36047,1062,3020
2020-04-17,36061,444,1574
2020-04-17,36081,1139,3381
2020-04-17,36085,303,1111
2020-04-18,36005,812,2186
2020-04-18,36047,717,2390
2020-04-18,36061,286,1083
2020-04-18,36081,1030,3346
2020-04-18,36085,341,1290
2020-04-19,36005,554,1727
2020-04-19,36047,562,1856
2020-04-19,36061,241,943
2020-04-19,36081,807,2461
2020-04-19,36085,239,878
2020-04-20,36005,620,2055
2020-04-20,36047,665,2306
2020-04-20,36061,231,1099
2020-04-20,36081,811,2507
2020-04-20,36085,210,889
2020-04-21,36005,885,2951
2020-04-21,36047,790,2841
2020-04-21,36061,321,1411
2020-04-21,36081,894,3062
2020-04-21,36085,225,1000
2020-04-22,36005,794,3096
2020-04-22,36047,878,3537
2020-04-22,36061,323,1580
2020-04-22,36081,1202,4170
2020-04-22,36085,247,1033
2020-04-23,36005,1047,3708
2020-04-23,36047,1300,5034
2020-04-23,36061,512,2672
2020-04-23,36081,1492,5483
2020-04-23,36085,293,1276
2020-04-24,36005,1482,4807
2020-04-24,36047,1016,4033
2020-04-24,36061,428,2113
2020-04-24,36081,1484,5311
2020-04-24,36085,246,1012
2020-04-25,36005,791,2984
2020-04-25,36047,833,3725
2020-04-25,36061,492,2356
2020-04-25,36081,920,3779
2020-04-25,36085,152,858
2020-04-26,36005,596,2390
2020-04-26,36047,533,2711
2020-04-26,36061,322,1998
2020-04-26,36081,659,2825
2020-04-26,36085,140,656
2020-04-27,36005,441,2123
2020-04-27,36047,577,2958
2020-04-27,36061,208,1633
2020-04-27,36081,534,2678
2020-04-27,36085,93,573
2020-04-28,36005,608,2954
2020-04-28,36047,655,3901
2020-04-28,36061,293,2264
2020-04-28,36081,813,4040
2020-04-28,36085,144,938
2020-04-29,36005,644,2983
2020-04-29,36047,644,3969
2020-04-29,36061,316,2300
2020-04-29,36081,901,4223
2020-04-29,36085,152,843
2020-04-30,36005,543,2829
2020-04-30,36047,650,3937
2020-04-30,36061,255,2205
2020-04-30,36081,653,3732
2020-04-30,36085,126,851
2020-05-01,36005,667,3697
2020-05-01,36047,758,4720
2020-05-01,36061,319,2598
2020-05-01,36081,766,4530
2020-05-01,36085,157,924
2020-05-02,36005,468,2858
2020-05-02,36047,563,3802
2020-05-02,36061,244,2214
2020-05-02,36081,609,3779
2020-05-02,36085,101,732
2020-05-03,36005,308,1868
2020-05-03,36047,353,2563
2020-05-03,36061,159,1516
2020-05-03,36081,453,2725
2020-05-03,36085,60,554
2020-05-04,36005,254,2011
2020-05-04,36047,396,3372
2020-05-04,36061,152,2234
2020-05-04,36081,368,2664
2020-05-04,36085,63,576
2020-05-05,36005,364,2661
2020-05-05,36047,395,3596
2020-05-05,36061,204,2502
2020-05-05,36081,437,3617
2020-05-05,36085,84,703
2020-05-06,36005,343,2797
2020-05-06,36047,579,5310
2020-05-06,36061,274,2976
2020-05-06,36081,565,4495
2020-05-06,36085,103,828
2020-05-07,36005,352,3083
2020-05-07,36047,449,4583
2020-05-07,36061,203,3045
2020-05-07,36081,496,4027
