date,Subways_Total_Estimated_Ridership,Subways_Percentage_of_Comparable_Pre_Pandemic_Day,Buses_Total_Estimated_Ridership,Buses_Percentage_of_Comparable_Pre_Pandemic_Day,LIRR_Total_Estimated_Ridership,LIRR_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Metro_North_Total_Estimated_Ridership,Metro_North_Percentage_of_2019_Monthly_Weekday_Saturday_Sunday_Average,Access_A_Ride_Total_Scheduled_Trips,Access_A_Ride_Percentage_of_Comprable_Pre_Pandemic_Day,Bridges_and_Tunnels_Total_Traffic,Bridges_and_Tunnels_Percentage_of_Comparable_Pre_Pandemic_Day
05/06/2020,"509,646",0.087,"538,800",0.22,"14,500",0.05,"14,700",0.05,"8,832",0.277,"444,179",0.462
05/05/2020,"522,979",0.09,"583,400",0.25,"13,300",0.04,"15,500",0.05,"8,445",0.273,"462,086",0.494
05/04/2020,"512,763",0.091,"578,300",0.25,"11,200",0.03,"15,800",0.06,"8,287",0.293,"447,424",0.482
05/03/2020,"259,199",0.111,"375,900",0.45,"3,300",0.03,"7,600",0.07,"3,263",0.186,"353,314",0.443
05/02/2020,"326,354",0.101,"478,600",0.34,"4,000",0.03,"10,900",0.07,"5,493",0.312,"401,938",0.43
05/01/2020,"495,312",0.086,"555,300",0.25,"6,200",0.02,"12,400",0.04,"8,332",0.29,"445,621",0.441
04/30/2020,"466,633",0.079,"488,800",0.21,"9,300",0.03,"14,400",0.05,"7,253",0.245,"405,169",0.412
04/29/2020,"478,589",0.082,"519,600",0.22,"9,100",0.03,"14,800",0.05,"7,844",0.255,"410,502",0.431
04/28/2020,"490,073",0.085,"555,600",0.24,"9,200",0.03,"15,400",0.05,"7,542",0.255,"436,347",0.47
04/27/2020,"463,700",0.083,"518,400",0.23,"8,800",0.03,"15,000",0.05,"6,922",0.254,"384,124",0.424
04/26/2020,"219,096",0.091,"293,500",0.3,"1,900",0.02,"5,400",0.05,"2,506",0.143,"231,541",0.276
04/25/2020,"295,836",0.091,"430,800",0.32,"2,900",0.03,"9,100",0.06,"4,719",0.288,"350,300",0.38
04/24/2020,"444,644",0.088,"475,400",0.27,"7,800",0.03,"13,200",0.05,"7,040",0.277,"386,935",0.429
04/23/2020,"454,300",0.083,"487,300",0.25,"8,400",0.03,"13,800",0.05,"6,969",0.249,"386,938",0.411
04/22/2020,"459,574",0.085,"518,900",0.26,"8,700",0.03,"14,100",0.05,"7,496",0.256,"398,703",0.423
04/21/2020,"422,860",0.078,"450,900",0.22,"8,300",0.03,"13,700",0.05,"6,613",0.239,"356,099",0.382
04/20/2020,"438,622",0.089,"498,700",0.27,"8,900",0.03,"14,800",0.05,"7,050",0.295,"371,776",0.404
04/19/2020,"224,751",0.096,"318,100",0.32,"2,200",0.02,"6,000",0.06,"2,742",0.142,"276,406",0.314
04/18/2020,"254,792",0.09,"352,000",0.29,"2,400",0.02,"7,200",0.05,"4,202",0.284,"254,735",0.302
04/17/2020,"433,106",0.091,"470,300",0.27,"8,300",0.03,"13,500",0.05,"7,048",0.288,"378,350",0.392
04/16/2020,"421,013",0.071,"447,000",0.2,"8,500",0.03,"13,800",0.05,"6,563",0.222,"346,342",0.346
04/15/2020,"419,851",0.07,"454,100",0.19,"8,600",0.03,"13,800",0.05,"6,928",0.22,"340,213",0.351
04/14/2020,"430,946",0.073,"470,900",0.2,"8,800",0.03,"14,100",0.05,"6,585",0.219,"356,104",0.376
04/13/2020,"363,961",0.065,"347,800",0.16,"8,200",0.03,"13,000",0.05,"6,205",0.222,"284,609",0.313
04/12/2020,"198,693",0.08,"279,100",0.28,"2,200",0.02,"5,100",0.05,"2,525",0.136,"217,871",0.256
04/11/2020,"257,467",0.078,"378,200",0.27,"2,700",0.02,"7,600",0.05,"4,235",0.24,"254,755",0.269
04/10/2020,"400,947",0.07,"414,100",0.19,"8,200",0.03,"13,000",0.05,"5,378",0.185,"314,100",0.314
04/09/2020,"405,325",0.07,"401,900",0.17,"8,400",0.03,"12,900",0.04,"6,243",0.199,"303,481",0.312
04/08/2020,"428,206",0.073,"431,700",0.18,"9,000",0.03,"13,500",0.05,"6,950",0.217,"324,882",0.342
04/07/2020,"435,718",0.076,"441,000",0.19,"9,300",0.03,"14,100",0.05,"7,041",0.233,"335,470",0.367
04/06/2020,"446,273",0.08,"454,900",0.2,"10,100",0.03,"14,400",0.05,"7,093",0.25,"335,769",0.369
04/05/2020,"227,603",0.091,"299,600",0.3,"3,000",0.03,"5,600",0.05,"2,763",0.144,"209,152",0.234
04/04/2020,"282,703",0.086,"383,400",0.27,"3,700",0.03,"8,100",0.05,"4,375",0.245,"243,323",0.26
04/03/2020,"484,200",0.085,"483,800",0.22,"9,700",0.03,"13,200",0.05,"7,794",0.273,"340,273",0.349
04/02/2020,"486,468",0.082,"472,700",0.2,"10,100",0.03,"13,700",0.05,"7,077",0.225,"339,734",0.348
04/01/2020,"514,201",0.087,"495,400",0.21,"10,500",0.03,"13,600",0.05,"8,151",0.252,"342,222",0.367
03/31/2020,"509,149",0.088,"514,300",0.22,,,,,"7,672",0.257,"337,626",0.373
03/30/2020,"546,355",0.098,"563,900",0.25,,,,,"8,084",0.283,"344,690",0.384
03/29/2020,"264,119",0.117,"306,800",0.31,,,,,"3,374",0.194,"197,154",0.242
03/28/2020,"332,993",0.102,"403,700",0.29,,,,,"4,491",0.26,"240,702",0.259
03/27/2020,"658,312",0.118,"641,800",0.29,,,,,"8,409",0.294,"396,778",0.402
03/26/2020,"681,923",0.118,"646,100",0.28,,,,,"8,795",0.288,"390,117",0.403
03/25/2020,"691,604",0.121,"618,000",0.27,,,,,"9,512",0.302,"375,767",0.406
03/24/2020,"743,314",0.131,"657,800",0.28,,,,,"9,133",0.301,"395,493",0.437
03/23/2020,"711,138",0.131,"578,200",0.26,,,,,"9,902",0.348,"361,514",0.407
03/22/2020,"409,364",0.169,"378,900",0.35,,,,,"4,824",0.261,"277,051",0.318
03/21/2020,"620,662",0.205,"564,900",0.43,,,,,"6,467",0.392,"382,993",0.433
03/20/2020,"1,312,249",0.239,"868,600",0.41,,,,,"12,744",0.453,"563,262",0.584
03/19/2020,"1,425,564",0.256,"933,600",0.43,,,,,"14,116",0.483,"569,696",0.62
03/18/2020,"1,629,413",0.286,"1,059,500",0.45,,,,,"15,942",0.5,"634,853",0.688
03/17/2020,"1,793,359",0.318,"1,094,900",0.47,,,,,"18,173",0.594,"650,445",0.716
03/16/2020,"2,184,296",0.405,"1,237,300",0.55,,,,,"21,145",0.756,"708,870",0.794
03/15/2020,"1,159,079",0.476,"711,600",0.69,,,,,"12,480",0.683,"535,988",0.636
03/14/2020,"1,672,800",0.525,"993,300",0.73,,,,,"13,394",0.791,"631,101",0.698
03/13/2020,"3,496,765",0.62,"1,715,700",0.77,,,,,"26,640",0.918,"860,419",0.862
03/12/2020,"4,163,674",0.716,"1,938,400",0.82,,,,,"30,814",0.985,"881,188",0.913
03/11/2020,"4,712,462",0.815,"2,113,000",0.9,,,,,"32,198",1.006,"866,706",0.933
03/10/2020,"4,883,623",0.849,"2,112,000",0.91,,,,,"31,315",1.021,"855,585",0.942
03/09/2020,"4,989,635",0.896,"2,124,800",0.93,,,,,"29,609",1.027,"860,073",0.953
03/08/2020,"2,122,328",1.004,"957,200",1.07,,,,,"19,477",1.134,"765,084",0.994
03/07/2020,"2,817,082",0.904,"1,249,100",0.91,,,,,"18,117",1.037,"827,908",0.924
03/06/2020,"5,204,732",0.916,"2,066,700",0.93,,,,,"30,970",1.067,"945,408",0.96
03/05/2020,"5,513,656",0.956,"2,244,500",0.99,,,,,"33,209",1.071,"929,298",0.991
03/04/2020,"5,515,945",0.968,"2,177,200",0.97,,,,,"34,297",1.087,"905,558",0.999
03/03/2020,"5,498,556",0.961,"2,228,600",0.97,,,,,"32,767",1.069,"882,175",0.983
03/02/2020,"5,347,055",1.239,"2,209,100",1.4,,,,,"30,338",1.282,"874,620",1.275
03/01/2020,"2,214,601",0.987,"984,900",1.01,,,,,"19,922",1.188,"786,961",1.078
