Route,Notes,FIPS,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
Bx6Lcl/SBS,3,36005,"7,580,561","7,309,635","7,011,484","7,042,006",6717755,4502914,"-2,214,842",-33.00%,15
Bx7,,36005,"4,393,294","4,394,175","4,353,649","4,259,318",4318800,2848159,"-1,470,642",-34.10%,34
Bx8,,36005,"2,011,326","2,042,929","1,942,058","1,799,742",1769122,890086,"-879,036",-49.70%,144
Bx9,,36005,"8,772,776","8,676,548","8,062,821","7,443,619",7027151,4257820,"-2,769,331",-39.40%,16
Bx10,,36005,"3,347,556","3,407,076","3,286,655","3,133,782",3007025,1760342,"-1,246,683",-41.50%,69
Bx11,,36005,"4,647,702","4,470,530","4,094,009","3,633,122",3364130,2175573,"-1,188,557",-35.30%,54
Bx12Lcl/SBS,,36005,"15,921,781","15,576,377","14,913,624","13,746,066",13046584,7905359,"-5,141,225",-39.40%,2
Bx13,,36005,"3,826,830","3,897,006","3,669,093","3,309,624",3157715,2143054,"-1,014,660",-32.10%,58
Bx15,,36005,"9,775,282","8,952,781","8,022,264","7,004,278",6597695,3919799,"-2,677,896",-40.60%,19
Bx16,,36005,"2,409,713","2,453,269","2,320,783","2,088,148",2073049,1223288,"-849,761",-41.00%,116
Bx17,,36005,"3,286,805","3,173,038","2,916,992","2,554,238",2292839,1346573,"-946,266",-41.30%,101
Bx18,,36005,"540,682","566,598","519,045","465,736",422442,270833,"-151,610",-35.90%,206
Bx19,,36005,"10,192,157","9,501,429","8,558,910","7,567,203",6978379,5458473,"-1,519,906",-21.80%,9
Bx20,,36005,"204,173","196,182","190,734","206,380",220556,89711,"-130,845",-59.30%,222
Bx21,,36005,"4,889,564","4,633,090","4,175,053","3,707,092",3510199,2163137,"-1,347,062",-38.40%,55
Bx22,,36005,"4,669,800","4,520,207","4,209,387","3,816,743",3571389,1825743,"-1,745,646",-48.90%,67
Bx23,,36005,"1,108,921","1,107,917","1,107,821","1,076,181",1088672,502142,"-586,530",-53.90%,190
Bx24,,36005,"222,427","226,963","237,886","231,059",240473,157660,"-82,813",-34.40%,214
Bx26,,36005,"2,525,561","2,490,773","2,332,970","2,101,914",2091315,1302456,"-788,859",-37.70%,106
Bx27,,36005,"2,395,592","2,303,518","2,174,967","1,892,972",1832550,970761,"-861,788",-47.00%,135
