Station (alphabetical by borough),FIPS,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
Morrison Av-Soundview (6),36005,Bx,"2,097,203","2,135,920","2,125,767","1,988,053",1970185,1000610,"-969,575",-49.20%,206
Mosholu Pkwy (4),36005,Bx,"2,891,451","2,836,370","2,695,090","2,531,607",2491758,1274467,"-1,217,291",-48.90%,160
Mt Eden Av (4),36005,Bx,"1,844,131","1,824,478","1,708,790","1,652,407",1551038,823443,"-727,595",-46.90%,243
"Nereid Av (2,5)",36005,Bx,"1,162,973","1,131,328","1,085,289","1,034,335",1006617,470230,"-536,387",-53.30%,351
Norwood-205 St (D),36005,Bx,"2,750,124","2,805,984","2,723,506","2,611,874",2639003,1315356,"-1,323,647",-50.20%,153
Parkchester (6),36005,Bx,"5,224,959","5,201,901","5,071,740","4,836,244",4734709,2205552,"-2,529,157",-53.40%,71
Pelham Bay Park (6),36005,Bx,"2,337,689","2,208,725","2,207,720","2,146,552",2134403,951324,"-1,183,079",-55.40%,218
"Pelham Pkwy (2,5)",36005,Bx,"3,066,190","2,955,589","2,849,210","2,639,586",2651208,1222206,"-1,429,002",-53.90%,172
Pelham Pkwy (5),36005,Bx,"894,727","897,374","869,177","844,884",896134,405004,"-491,130",-54.80%,371
"Prospect Av (2,5)",36005,Bx,"2,394,820","2,513,169","2,413,743","2,142,697",2148059,1021781,"-1,126,278",-52.40%,199
"Simpson St (2,5)",36005,Bx,"3,048,014","3,046,838","2,965,807","2,585,974",2602749,1230833,"-1,371,916",-52.70%,171
St Lawrence Av (6),36005,Bx,"1,320,571","1,329,758","1,334,387","1,273,609",1276865,641826,"-635,039",-49.70%,301
"Tremont Av (B,D)",36005,Bx,"3,155,197","3,213,396","3,154,608","3,246,064",3052099,1433744,"-1,618,355",-53.00%,133
Van Cortlandt Park-242 St (1),36005,Bx,"2,266,986","2,294,482","2,249,314","2,333,136",2189109,980836,"-1,208,273",-55.20%,208
Wakefield-241 St (2),36005,Bx,"1,654,707","1,662,337","1,578,125","1,484,478",1404748,711029,"-693,719",-49.40%,281
"West Farms Sq-East Tremont Av (2,5)",36005,Bx,"2,437,882","2,465,907","2,388,659","2,094,751",2104945,947252,"-1,157,693",-55.00%,222
Westchester Sq-East Tremont Av (6),36005,Bx,"2,056,555","1,952,473","1,917,007","1,817,925",1796415,835515,"-960,900",-53.50%,240
Whitlock Av (6),36005,Bx,"545,079","571,352","595,385","592,103",586845,308198,"-278,647",-47.50%,400
Woodlawn (4),36005,Bx,"2,418,890","2,380,900","2,242,100","2,160,859",2094285,949554,"-1,144,731",-54.70%,220
Zerega Av (6),36005,Bx,"492,883","784,314","799,739","792,928",795756,361499,"-434,257",-54.60%,385
"15 St-Prospect Park (F,G)",36047,B,"2,011,237","1,958,444","1,917,454","1,867,619",1964534,681492,"-1,283,042",-65.30%,292
18 Av (D),36047,B,"1,925,239","2,003,777","1,948,610","1,909,554",1942617,851720,"-1,090,897",-56.20%,236
18 Av (F),36047,B,"1,392,552","1,344,286","1,281,041","1,163,390",1113492,503136,"-610,356",-54.80%,338
18 Av (N),36047,B,"1,784,992","723,187","992,834","981,261",1179756,677764,"-501,992",-42.60%,294
20 Av (D),36047,B,"1,592,525","1,656,437","1,579,804","1,534,396",1578971,703957,"-875,014",-55.40%,285
20 Av (N),36047,B,"1,279,525","409,416","664,120","1,075,077",1142086,486218,"-655,868",-57.40%,342
25 Av (D),36047,B,"1,508,412","1,992,945","1,789,365","1,571,134",1507759,609450,"-898,309",-59.60%,311
25 St (R),36047,B,"1,221,949","1,188,884","1,373,521","1,149,469",1153842,504579,"-649,263",-56.30%,336
"36 St (D,N,R)",36047,B,"4,138,929","4,235,509","4,543,305","4,293,364",4254406,1924520,"-2,329,886",-54.80%,89
"4 Av (F,G)/9 St (R)",36047,B,"4,199,208","4,138,758","4,323,467","3,906,028",3924882,1531708,"-2,393,174",-61.00%,127
45 St (R),36047,B,"2,321,241","2,228,315","2,390,684","2,251,921",2461410,1081234,"-1,380,176",-56.10%,185
50 St (D),36047,B,"968,612","1,012,356","986,060","965,643",976988,521944,"-455,044",-46.60%,330
53 St (R),36047,B,"2,374,338","2,334,471","1,187,907","2,378,056",2797730,1368019,"-1,429,711",-51.10%,145
55 St (D),36047,B,"595,157","665,488","632,198","650,590",637405,330043,"-307,362",-48.20%,393
"59 St (N,R)",36047,B,"4,158,863","4,169,280","5,326,789","3,998,207",3664480,1631566,"-2,032,914",-55.50%,117
"7 Av (B,Q)",36047,B,"2,980,366","2,943,272","3,236,816","3,126,475",3103599,1007948,"-2,095,651",-67.50%,203
"7 Av (F,G)",36047,B,"3,780,126","3,700,321","3,623,053","3,572,223",3675218,1314989,"-2,360,229",-64.20%,154
71 St (D),36047,B,"1,487,929","2,029,479","1,854,361","1,746,966",1722921,721711,"-1,001,210",-58.10%,277
77 St (R),36047,B,"1,723,178","1,743,795","1,980,011","1,676,402",1674582,700333,"-974,249",-58.20%,287
79 St (D),36047,B,"2,043,471","2,137,349","2,032,937","1,901,043",1926290,816330,"-1,109,960",-57.60%,245
8 Av (N),36047,B,"3,796,909","4,586,559","4,088,721","3,700,661",3801700,1424892,"-2,376,808",-62.50%,136
86 St (N),36047,B,"859,293","419,039","494,456","609,555",708542,365213,"-343,329",-48.50%,383
86 St (R),36047,B,"3,747,601","3,752,400","3,516,712","3,470,741",3434888,1538353,"-1,896,535",-55.20%,125
9 Av (D),36047,B,"1,843,944","1,858,368","1,737,192","1,667,200",1708387,807970,"-900,417",-52.70%,249
Alabama Av (J),36047,B,"814,578","834,945","755,935","652,030",628299,337011,"-291,288",-46.40%,390
Atlantic Av (L),36047,B,"422,505","436,300","557,103","559,411",469819,228515,"-241,304",-51.40%,408
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",36047,B,"13,690,678","13,818,168","13,571,093","13,807,282",13939794,5474265,"-8,465,529",-60.70%,15
Avenue H (Q),36047,B,"899,662","952,855","1,006,747","1,034,018",991766,395439,"-596,327",-60.10%,373
Avenue I (F),36047,B,"672,710","585,217","326,469","326,005",584129,262583,"-321,546",-55.00%,403
Avenue J (Q),36047,B,"1,848,674","1,867,727","1,912,497","1,878,547",1775846,799621,"-976,225",-55.00%,254
Avenue M (Q),36047,B,"1,733,583","1,776,762","1,828,941","1,808,189",1691285,763258,"-928,027",-54.90%,263
Avenue N (F),36047,B,"1,027,713","941,921","643,200","612,201",877383,393183,"-484,200",-55.20%,375
Avenue P (F),36047,B,"858,733","809,816","534,727","509,036",739804,333836,"-405,968",-54.90%,392
Avenue U (F),36047,B,"716,715","772,331","373,322","310,821",547776,248310,"-299,466",-54.70%,406
Avenue U (N),36047,B,"1,253,349","456,533","734,714","830,278",1019104,503937,"-515,167",-50.60%,337
Avenue U (Q),36047,B,"2,231,577","2,332,985","2,360,833","2,329,614",2301941,979080,"-1,322,861",-57.50%,209
Avenue X (F),36047,B,"589,962","727,220","738,274","775,436",758700,334714,"-423,986",-55.90%,391
Bay 50 St (D),36047,B,"872,953","972,937","900,508","826,074",821873,351591,"-470,282",-57.20%,387
Bay Pkwy (D),36047,B,"2,368,617","2,578,524","2,502,105","2,435,949",2446673,1086573,"-1,360,100",-55.60%,184
Bay Pkwy (F),36047,B,"460,536","406,793","214,153","188,225",362802,167877,"-194,925",-53.70%,416
Bay Pkwy (N),36047,B,"2,298,369","3,435,240","2,950,253","2,266,916",2071452,940309,"-1,131,143",-54.60%,223
Bay Ridge Av (R),36047,B,"2,623,309","2,622,438","1,282,256","2,228,497",2354120,1023374,"-1,330,746",-56.50%,197
Bay Ridge-95 St (R),36047,B,"1,865,038","1,853,049","1,755,379","1,739,178",1743441,740055,"-1,003,386",-57.60%,272
Bedford Av (L),36047,B,"9,388,289","9,688,560","9,644,831","9,053,980",7836366,2873798,"-4,962,568",-63.30%,49
Bedford-Nostrand Avs (G),36047,B,"2,634,066","2,697,942","2,779,124","2,774,993",2795387,1062724,"-1,732,663",-62.00%,187
"Bergen St (2,3)",36047,B,"1,210,571","1,231,084","1,180,684","1,140,677",1208319,435520,"-772,799",-64.00%,368
"Bergen St (F,G)",36047,B,"3,708,300","3,599,389","3,525,144","3,478,946",3577496,1240354,"-2,337,142",-65.30%,169
Beverley Rd (Q),36047,B,"899,663","953,903","1,038,252","1,060,568",1048249,453974,"-594,275",-56.70%,359
"Beverly Rd (2,5)",36047,B,"1,392,643","1,379,958","1,348,244","1,307,405",1284232,607427,"-676,805",-52.70%,312
"Brighton Beach (B,Q)",36047,B,"4,014,831","4,044,514","3,957,811","3,778,194",3745994,1683782,"-2,062,212",-55.10%,111
Broadway (G),36047,B,"1,313,362","1,397,227","1,385,797","1,402,102",1506905,728238,"-778,667",-51.70%,274
"Broadway Junction (A,C,J,L,Z)",36047,B,"3,133,658","3,085,401","2,911,532","2,810,636",2759349,1292868,"-1,466,481",-53.10%,157
Bushwick Av-Aberdeen St (L),36047,B,"598,393","672,880","682,086","671,545",600188,298031,"-302,157",-50.30%,402
Canarsie-Rockaway Pkwy (L),36047,B,"4,024,313","3,897,784","3,828,628","3,598,843",3302691,1306173,"-1,996,518",-60.50%,155
"Carroll St (F,G)",36047,B,"3,672,702","3,563,150","3,537,661","3,490,924",3615019,1261245,"-2,353,774",-65.10%,165
Central Av (M),36047,B,"1,141,731","1,158,274","539,681","725,022",1472067,591081,"-880,986",-59.80%,315
"Chauncey St (J,Z)",36047,B,"1,045,698","1,092,483","1,095,638","1,063,828",1076510,479409,"-597,101",-55.50%,345
"Church Av (2,5)",36047,B,"3,070,551","3,027,658","2,916,680","2,818,535",2862033,1335645,"-1,526,388",-53.30%,151
"Church Av (B,Q)",36047,B,"5,707,573","5,438,775","5,455,527","5,161,293",5061013,2181585,"-2,879,428",-56.90%,72
"Church Av (F,G)",36047,B,"3,353,795","3,315,387","3,148,411","3,099,383",3051736,1368063,"-1,683,673",-55.20%,144
"Clark St (2,3)",36047,B,"1,997,148","2,000,024","1,631,139","1,550,414",1781419,589682,"-1,191,737",-66.90%,316
Classon Av (G),36047,B,"1,604,508","1,581,663","1,585,121","1,649,340",1722852,667262,"-1,055,590",-61.30%,297
Cleveland St (J),36047,B,"1,120,403","1,104,683","1,011,734","901,928",880879,436011,"-444,868",-50.50%,367
Clinton-Washington Avs (C),36047,B,"2,060,200","2,152,345","2,201,880","2,178,439",2144338,724726,"-1,419,612",-66.20%,275
Clinton-Washington Avs (G),36047,B,"1,716,023","1,656,058","1,551,042","1,534,802",1609332,574939,"-1,034,393",-64.30%,320
"Coney Island-Stillwell Av (D,F,N,Q)",36047,B,"5,132,083","5,025,598","4,803,755","4,615,664",4579191,1838369,"-2,740,822",-59.90%,95
Cortelyou Rd (Q),36047,B,"1,961,144","1,978,254","2,028,859","1,994,734",1957538,835380,"-1,122,158",-57.30%,241
"Court St (R)/Borough Hall (2,3,4,5)",36047,B,"11,360,058","11,080,334","10,693,598","10,364,534",10135722,3356706,"-6,779,016",-66.90%,34
"Crescent St (J,Z)",36047,B,"1,626,727","1,617,730","1,570,485","1,467,166",1391945,677801,"-714,144",-51.30%,293
"Crown Heights-Utica Av (3,4)",36047,B,"8,965,908","9,051,970","8,954,499","7,920,192",7933008,3654953,"-4,278,055",-53.90%,29
Cypress Hills (J),36047,B,"452,936","462,143","435,855","411,331",420647,222325,"-198,322",-47.10%,410
"DeKalb Av (B,Q,R)",36047,B,"5,373,388","5,640,329","6,551,184","6,776,248",6708640,2419410,"-4,289,230",-63.90%,60
DeKalb Av (L),36047,B,"3,938,538","4,017,076","4,171,610","4,000,252",3290894,1541784,"-1,749,110",-53.10%,124
Ditmas Av (F),36047,B,"1,033,946","1,055,185","1,137,998","1,149,528",1177275,538215,"-639,060",-54.30%,328
East 105 St (L),36047,B,"1,187,844","1,201,578","1,201,452","1,139,556",1001343,477302,"-524,041",-52.30%,346
