Station (alphabetical by borough),FIPS,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
Sutter Av-Rutland Rd (3),36047,B,"2,420,464","2,035,027","1,049,559","1,968,448",2019485,995590,"-1,023,895",-50.70%,207
Union St (R),36047,B,"2,073,096","2,024,863","1,935,724","2,090,848",2271983,808042,"-1,463,941",-64.40%,248
"Utica Av (A,C)",36047,B,"5,060,099","5,152,649","5,271,782","5,195,786",5106247,2085483,"-3,020,764",-59.20%,78
Van Siclen Av (3),36047,B,"304,082","1,250,237","1,078,048","854,150",853106,413650,"-439,456",-51.50%,370
Van Siclen Av (C),36047,B,"1,019,100","1,017,779","1,026,358","955,230",918811,437290,"-481,521",-52.40%,366
"Van Siclen Av (J,Z)",36047,B,"966,461","983,370","910,042","818,735",791691,416713,"-374,978",-47.40%,369
"West 8 St-New York Aquarium (F,Q)",36047,B,"789,416","795,636","789,104","818,685",837836,315691,"-522,145",-62.30%,396
Wilson Av (L),36047,B,"1,407,098","1,219,239","1,471,094","1,420,065",1290221,587630,"-702,591",-54.50%,318
"Winthrop St (2,5)",36047,B,"2,241,716","2,146,809","2,148,162","2,140,028",1882065,974253,"-907,812",-48.20%,210
York St (F),36047,B,"2,900,416","3,286,640","3,172,717","3,256,154",3927129,1257103,"-2,670,026",-68.00%,167
1 Av (L),36061,M,"7,702,110","7,660,896","7,071,729","6,743,140",5345371,2177284,"-3,168,087",-59.30%,73
103 St (1),36061,M,"4,258,632","4,290,142","4,114,291","4,072,703",3766055,1470254,"-2,295,801",-61.00%,130
103 St (6),36061,M,"4,031,201","4,336,922","4,402,069","4,065,523",4039570,1851275,"-2,188,295",-54.20%,91
"103 St (B,C)",36061,M,"1,521,132","1,481,660","1,470,838","1,630,405",1498363,579191,"-919,172",-61.30%,319
110 St (6),36061,M,"4,209,449","4,196,711","3,734,660","3,394,176",3316061,1468770,"-1,847,291",-55.70%,131
"116 St (2,3)",36061,M,"3,948,545","3,874,037","3,729,434","3,446,526",3345661,1375593,"-1,970,068",-58.90%,143
116 St (6),36061,M,"5,324,072","5,336,694","5,066,069","4,683,148",4572453,2052609,"-2,519,844",-55.10%,81
"116 St (B,C)",36061,M,"2,246,138","2,276,196","2,253,473","2,262,578",2288111,896442,"-1,391,669",-60.80%,229
116 St-Columbia University (1),36061,M,"4,846,181","4,797,152","4,586,341","4,528,136",4380469,1316284,"-3,064,185",-70.00%,152
125 St (1),36061,M,"2,555,321","2,524,125","2,438,960","2,457,157",2368025,967478,"-1,400,547",-59.10%,212
"125 St (2,3)",36061,M,"5,121,518","4,989,981","5,054,479","4,727,671",4644262,1848803,"-2,795,459",-60.20%,93
"125 St (4,5,6)",36061,M,"9,586,567","9,431,163","9,088,393","8,630,430",8554857,3587673,"-4,967,184",-58.10%,31
"125 St (A,B,C,D)",36061,M,"9,558,837","9,603,878","9,335,382","9,037,343",9208598,3863203,"-5,345,395",-58.00%,27
"135 St (2,3)",36061,M,"4,949,583","4,867,017","4,768,474","4,506,259",4268823,1867402,"-2,401,421",-56.30%,90
"135 St (B,C)",36061,M,"1,693,561","1,731,460","1,743,984","1,622,552",1743921,667495,"-1,076,426",-61.70%,296
137 St-City College (1),36061,M,"4,646,578","4,564,432","4,440,108","4,260,166",3874783,1717440,"-2,157,343",-55.70%,106
"14 St (A,C,E)/8 Av (L)",36061,M,"14,763,727","14,572,075","14,153,266","14,324,670",14239275,4463227,"-9,776,048",-68.70%,22
"14 St (F,M,1,2,3)/6 Av (L)",36061,M,"16,121,318","16,118,952","15,187,056","15,002,214",14736035,5057029,"-9,679,006",-65.70%,18
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",36061,M,"35,320,623","34,289,822","34,557,551","33,124,407",32385260,10830712,"-21,554,548",-66.60%,4
145 St (1),36061,M,"3,338,110","3,328,994","3,208,921","3,062,446",2936613,1264852,"-1,671,761",-56.90%,163
145 St (3),36061,M,"1,137,484","1,086,105","1,093,045","635,413",954825,438388,"-516,437",-54.10%,365
"145 St (A,B,C,D)",36061,M,"7,923,696","7,949,593","7,714,122","7,434,662",7464653,3111334,"-4,353,319",-58.30%,40
"155 St (B,D)",36061,M,"1,306,282","1,308,981","1,212,240","1,115,948",1123868,546625,"-577,243",-51.40%,327
155 St (C),36061,M,"842,826","881,431","887,427","1,001,262",895036,367255,"-527,781",-59.00%,381
157 St (1),36061,M,"3,516,545","3,542,519","3,488,053","3,514,522",3739786,1414356,"-2,325,430",-62.20%,139
163 St-Amsterdam Av (C),36061,M,"1,395,260","1,450,668","1,437,340","548,092",1390312,617596,"-772,716",-55.60%,307
"168 St (A,C,1)",36061,M,"8,009,233","8,217,661","7,945,871","8,150,537",6156288,3265733,"-2,890,555",-47.00%,36
175 St (A),36061,M,"4,197,373","4,049,645","4,112,450","3,879,652",4182625,1665946,"-2,516,679",-60.20%,115
18 St (1),36061,M,"2,676,304","2,687,128","2,594,336","2,683,235",2649616,803924,"-1,845,692",-69.70%,251
181 St (1),36061,M,"3,779,275","3,772,385","3,742,446","3,605,435",3523536,1682772,"-1,840,764",-52.20%,112
181 St (A),36061,M,"3,628,174","3,459,170","3,453,621","3,368,097",3404841,1364548,"-2,040,293",-59.90%,147
190 St (A),36061,M,"1,530,460","1,460,194","1,494,996","1,423,142",1535450,562043,"-973,407",-63.40%,322
191 St (1),36061,M,"2,713,440","2,730,419","2,657,964","2,526,932",2333160,453577,"-1,879,583",-80.60%,360
2 Av (F),36061,M,"5,847,710","5,772,537","5,372,036","5,034,358",5583944,1846978,"-3,736,966",-66.90%,94
207 St (1),36061,M,"2,090,297","2,148,169","2,097,830","2,020,214",1853146,892067,"-961,079",-51.90%,231
215 St (1),36061,M,"615,177","636,441","617,727","553,050",527505,212402,"-315,103",-59.70%,412
23 St (1),36061,M,"4,884,678","4,703,374","4,557,216","4,853,909",4627755,1566363,"-3,061,392",-66.20%,120
23 St (6),36061,M,"8,627,481","8,539,378","8,265,227","9,035,498",8659806,2677996,"-5,981,810",-69.10%,53
"23 St (C,E)",36061,M,"7,844,508","7,543,246","7,410,618","7,420,152",7272610,2341259,"-4,931,351",-67.80%,66
"23 St (F,M)",36061,M,"8,942,154","8,989,195","8,636,801","5,099,809",8619473,3100291,"-5,519,182",-64.00%,42
"23 St (R,W)",36061,M,"7,965,410","8,151,328","7,651,650","8,155,834",7085694,2020698,"-5,064,996",-71.50%,83
28 St (1),36061,M,"4,665,377","4,544,976","4,348,170","4,444,072",4493352,1367598,"-3,125,754",-69.60%,146
28 St (6),36061,M,"7,214,293","7,161,164","6,836,061","3,525,030",5834989,2230478,"-3,604,511",-61.80%,68
"28 St (R,W)",36061,M,"4,083,143","4,205,109","4,065,263","4,445,982",4018310,1197468,"-2,820,842",-70.20%,174
3 Av (L),36061,M,"2,386,533","2,449,392","2,319,152","2,204,834",1700456,742241,"-958,215",-56.40%,270
33 St (6),36061,M,"9,701,723","9,577,123","8,916,102","9,530,273",8934900,3078482,"-5,856,418",-65.50%,43
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",36061,M,"39,541,865","39,000,352","39,672,507","39,111,312",39385436,12826841,"-26,558,595",-67.40%,3
34 St-Hudson Yards (7),36061,M,"692,165","2,691,851","3,098,699","3,189,867",6108384,2092769,"-4,015,615",-65.70%,77
"34 St-Penn Station (1,2,3)",36061,M,"28,309,160","27,741,367","26,034,238","25,968,950",25967676,8103809,"-17,863,867",-68.80%,6
"34 St-Penn Station (A,C,E)",36061,M,"26,147,434","25,183,869","24,366,500","24,857,456",25631364,8010472,"-17,620,892",-68.70%,7
"42 St-Bryant Pk (B,D,F,M)/5 Av (7)",36061,M,"16,220,605","16,934,142","16,594,289","16,056,128",17213702,5405394,"-11,808,308",-68.60%,16
"47-50 Sts-Rockefeller Center (B,D,F,M)",36061,M,"18,469,446","18,086,203","17,471,620","17,289,384",18604810,5826100,"-12,778,710",-68.70%,13
"49 St (N,R,W)",36061,M,"8,029,988","8,754,627","8,626,669","8,394,862",7410041,1985474,"-5,424,567",-73.20%,86
"5 Av-53 St (E,M)",36061,M,"7,597,212","7,240,517","7,111,270","7,748,504",7684091,2076871,"-5,607,220",-73.00%,79
"5 Av-59 St (N,R,W)",36061,M,"6,017,047","5,929,715","5,367,130","5,136,918",4995128,1672584,"-3,322,544",-66.50%,114
50 St (1),36061,M,"8,266,677","8,157,242","7,751,756","8,088,925",8134360,2213137,"-5,921,223",-72.80%,70
"50 St (C,E)",36061,M,"6,826,275","6,778,797","6,694,422","6,441,984",6902595,2002813,"-4,899,782",-71.00%,84
57 St (F),36061,M,"4,720,245","4,821,309","4,557,372","2,254,820",4550216,1491039,"-3,059,177",-67.20%,128
"57 St-7 Av (N,Q,R,W)",36061,M,"9,512,090","9,616,547","11,300,097","11,978,164",11012550,3474824,"-7,537,726",-68.40%,32
"59 St-Columbus Circle (A,B,C,D,1)",36061,M,"23,299,666","23,203,443","22,929,203","22,991,014",23040650,7618925,"-15,421,725",-66.90%,8
66 St-Lincoln Center (1),36061,M,"7,790,234","7,606,975","7,002,620","7,196,026",7068256,2141714,"-4,926,542",-69.70%,75
68 St-Hunter College (6),36061,M,"10,237,854","10,124,694","6,998,999","6,537,270",6699711,2511235,"-4,188,476",-62.50%,57
"7 Av (B,D,E)",36061,M,"5,252,615","5,162,589","5,105,535","5,299,531",5508778,1545234,"-3,963,544",-71.90%,123
"72 St (1,2,3)",36061,M,"13,341,361","13,257,766","12,749,746","12,879,887",12379560,4498641,"-7,880,919",-63.70%,21
"72 St (B,C)",36061,M,"2,979,236","2,921,892","2,799,974","1,382,963",2837041,935070,"-1,901,971",-67.00%,224
72 St (Q),36061,M,,,"8,536,209","9,068,131",9528891,3752228,"-5,776,663",-60.60%,28
77 St (6),36061,M,"11,014,861","10,927,200","8,276,168","7,653,602",7821286,3190550,"-4,630,736",-59.20%,38
79 St (1),36061,M,"5,534,255","5,371,624","5,102,655","4,990,840",4745863,1678293,"-3,067,570",-64.60%,113
"8 St-New York University (R,W)",36061,M,"5,894,747","6,030,544","5,569,352","5,686,332",5434212,1549451,"-3,884,761",-71.50%,122
"81 St-Museum of Natural History (B,C)",36061,M,"4,584,041","4,517,912","4,328,599","4,748,083",4407607,1275973,"-3,131,634",-71.10%,159
86 St (1),36061,M,"6,464,625","6,359,252","5,988,837","6,139,911",5659795,2076862,"-3,582,933",-63.30%,80
"86 St (4,5,6)",36061,M,"20,890,828","20,337,593","14,277,369","13,486,510",13537308,5155496,"-8,381,812",-61.90%,17
"86 St (B,C)",36061,M,"3,474,343","3,478,317","3,177,707","1,734,366",3232637,1188684,"-2,043,953",-63.20%,178
86 St (Q),36061,M,,,"7,693,260","8,075,480",8378778,2913038,"-5,465,740",-65.20%,47
"96 St (1,2,3)",36061,M,"13,008,596","12,700,397","11,948,981","11,702,401",11628887,4293386,"-7,335,501",-63.10%,23
96 St (6),36061,M,"8,294,978","8,004,488","5,576,058","5,151,742",5145222,2219217,"-2,926,005",-56.90%,69
"96 St (B,C)",36061,M,"3,084,906","3,044,779","2,887,965","2,836,643",3038864,1194638,"-1,844,226",-60.70%,175
96 St (Q),36061,M,,,"5,445,960","6,014,304",6154837,2353959,"-3,800,878",-61.80%,65
Astor Place (6),36061,M,"5,447,655","5,271,496","5,245,449","5,111,358",5502925,1684189,"-3,818,736",-69.40%,110
"Bowery (J,Z)",36061,M,"1,184,920","1,223,959","1,327,970","1,275,541",1325244,454326,"-870,918",-65.70%,358
"Bowling Green (4,5)",36061,M,"9,153,462","8,870,811","8,234,513","8,251,885",8362034,2503222,"-5,858,812",-70.10%,58
"Broad St (J,Z)",36061,M,"1,834,780","2,064,292","2,056,754","1,967,616",2172223,698480,"-1,473,743",-67.80%,288
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",36061,M,"12,666,868","12,405,639","11,956,465","11,414,999",12455155,4062645,"-8,392,510",-67.40%,25
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",36061,M,"10,481,576","10,059,080","9,360,484","9,060,206",9065146,2710023,"-6,355,123",-70.10%,51
Canal St (1),36061,M,"1,830,920","1,801,063","1,756,236","1,884,371",1984827,560302,"-1,424,525",-71.80%,323
"Canal St (A,C,E)",36061,M,"6,011,243","5,753,945","5,932,386","6,160,037",6403172,1965245,"-4,437,927",-69.30%,87
"Canal St (J,N,Q,R,W,Z,6)",36061,M,"15,094,135","15,274,896","16,285,516","15,995,877",15861864,4881373,"-10,980,491",-69.20%,19
Cathedral Pkwy-110 St (1),36061,M,"4,280,482","4,160,302","3,947,489","4,013,259",3703893,1433586,"-2,270,307",-61.30%,134
"Cathedral Pkwy-110 St (B,C)",36061,M,"2,376,166","2,354,421","2,377,135","1,168,203",2396624,934145,"-1,462,479",-61.00%,225
"Central Park North-110 St (2,3)",36061,M,"3,188,551","3,147,750","2,963,206","2,823,756",2666985,1060348,"-1,606,637",-60.20%,189
"Chambers St (1,2,3)",36061,M,"7,054,771","6,948,976","6,459,435","6,108,641",5941546,1781685,"-4,159,861",-70.00%,99
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",36061,M,"19,623,616","20,349,660","20,927,141","21,636,146",20820549,5930847,"-14,889,702",-71.50%,12
Christopher St-Sheridan Sq (1),36061,M,"3,363,949","3,307,136","3,193,169","3,312,074",3412332,1067635,"-2,344,697",-68.70%,186
"City Hall (R,W)",36061,M,"1,828,806","1,977,733","2,258,254","1,920,070",1710380,536758,"-1,173,622",-68.60%,329
"Delancey St (F)/Essex St (J,M,Z)",36061,M,"8,226,975","8,458,101","8,128,719","7,922,586",8861296,3388714,"-5,472,582",-61.80%,33
Dyckman St (1),36061,M,"2,317,843","2,410,021","2,329,753","2,263,932",2079656,1055222,"-1,024,434",-49.30%,190
Dyckman St (A),36061,M,"2,244,154","2,135,271","2,165,366","2,037,425",2238372,953250,"-1,285,122",-57.40%,216
East Broadway (F),36061,M,"4,576,662","4,752,739","4,458,909","4,216,327",4460330,1622512,"-2,837,818",-63.60%,118
Franklin St (1),36061,M,"1,731,354","1,782,203","1,700,180","1,757,424",1567005,501136,"-1,065,869",-68.00%,339
"Fulton St (A,C,J,Z,2,3,4,5)",36061,M,"21,671,684","25,162,937","26,838,473","27,719,115",27715365,8855302,"-18,860,063",-68.00%,5
"Grand Central-42 St (S,4,5,6,7)",36061,M,"46,737,564","46,121,509","44,928,488","45,207,849",45745700,13162826,"-32,582,874",-71.20%,2
"Grand St (B,D)",36061,M,"8,010,864","7,942,505","7,653,408","7,187,070",8024364,2908017,"-5,116,347",-63.80%,48
Harlem-148 St (3),36061,M,"1,269,910","1,220,407","1,209,846","1,232,448",1120454,473937,"-646,517",-57.70%,348
Houston St (1),36061,M,"4,377,409","4,375,993","4,326,280","4,488,886",4496793,1378640,"-3,118,153",-69.30%,141
Inwood-207 St (A),36061,M,"3,068,931","2,904,915","2,954,523","2,796,626",3150731,1260062,"-1,890,669",-60.00%,166
"Lexington Av (N,R,W)/59 St (4,5,6)",36061,M,"21,407,792","21,000,635","17,888,188","16,955,204",16760813,6273480,"-10,487,333",-62.60%,11
"Lexington Av-53 St (E,M)/51 St (6)",36061,M,"20,479,923","19,929,405","18,940,774","18,585,755",18957465,5718725,"-13,238,740",-69.80%,14
"Lexington Av-63 St (F,Q)",36061,M,"4,718,159","5,033,950","6,389,408","6,506,078",6567634,2441527,"-4,126,107",-62.80%,59
Marble Hill-225 St (1),36061,M,"1,809,998","1,777,035","1,726,646","1,686,237",1561844,754010,"-807,834",-51.70%,266
"Prince St (R,W)",36061,M,"5,386,641","5,314,922","4,990,346","5,142,727",4342692,1218279,"-3,124,413",-71.90%,173
Rector St (1),36061,M,"3,042,815","2,805,381","2,861,772","2,764,454",2554523,708206,"-1,846,317",-72.30%,283
"Rector St (R,W)",36061,M,"1,896,968","2,038,348","2,213,971","2,154,295",2014996,594426,"-1,420,570",-70.50%,314
Roosevelt Island (F),36061,M,"1,966,493","2,110,471","2,361,627","2,269,432",2380764,893253,"-1,487,511",-62.50%,230
"South Ferry (1)/Whitehall St (R,W)",36061,M,"8,750,364","9,009,136","10,205,836","10,275,268",10272682,3065053,"-7,207,629",-70.20%,44
Spring St (6),36061,M,"3,804,403","3,792,870","3,701,740","3,654,673",3754272,1123745,"-2,630,527",-70.10%,182
"Spring St (C,E)",36061,M,"3,782,314","3,744,702","3,637,863","3,853,792",4423135,1377863,"-3,045,272",-68.80%,142
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",36061,M,"66,359,208","64,531,511","64,815,739","65,060,656",65020294,20341240,"-44,679,054",-68.70%,1
"Wall St (2,3)",36061,M,"7,650,853","7,689,447","6,935,020","6,452,733",6910581,2029161,"-4,881,420",-70.60%,82
"Wall St (4,5)",36061,M,"6,708,745","6,148,384","5,704,122","5,646,207",5720475,1710383,"-4,010,092",-70.10%,108
"West 4 St-Washington Sq (A,B,C,D,E,F,M)",36061,M,"14,147,148","13,955,067","13,849,130","13,446,383",14063633,4503429,"-9,560,204",-68.00%,20
WTC Cortlandt (1),36061,M,0,0,0,"1,245,455",4232521,1138815,"-3,093,706",-73.10%,181
103 St-Corona Plaza (7),"	081",Q,"6,527,196","6,504,644","6,498,237","6,319,564",6399657,3311294,"-3,088,363",-48.30%,35
104 St (A),36081,Q,"538,400","626,547","560,309","548,871",536924,243156,"-293,768",-54.70%,407
"104 St (J,Z)",36081,Q,"841,545","850,903","502,541","456,765",774888,365060,"-409,828",-52.90%,384
111 St (7),36081,Q,"3,699,843","3,753,756","3,721,445","3,608,389",3836999,2119770,"-1,717,229",-44.80%,76
111 St (A),36081,Q,"767,647","561,857","748,813","762,641",760163,339066,"-421,097",-55.40%,389
111 St (J),36081,Q,"812,055","805,255","948,885","801,639",350344,302101,"-48,243",-13.80%,401
"121 St (J,Z)",36081,Q,"788,674","794,687","337,075","391,696",675500,315015,"-360,485",-53.40%,397
169 St (F),36081,Q,"2,858,542","2,787,763","2,629,975","2,497,336",2465120,1061564,"-1,403,556",-56.90%,188
21 St (G),36081,Q,"533,529","580,065","598,061","550,464",535536,228383,"-307,153",-57.40%,409
21 St-Queensbridge (F),36081,Q,"2,884,831","3,009,540","3,157,675","3,340,366",3516992,1355845,"-2,161,147",-61.40%,150
"30 Av (N,W)",36081,Q,"4,745,260","4,694,548","3,437,709","2,373,721",5230182,1767179,"-3,463,003",-66.20%,105
33 St-Rawson St (7),36081,Q,"3,712,153","3,636,632","3,402,610","3,031,465",2907388,956400,"-1,950,988",-67.10%,214
"36 Av (N,W)",36081,Q,"2,394,564","2,343,925","1,677,211","1,446,827",1933812,845827,"-1,087,985",-56.30%,238
"36 St (M,R)",36081,Q,"1,339,754","1,355,271","1,362,430","1,513,330",1383420,470766,"-912,654",-66.00%,350
"39 Av-Dutch Kills (N,W)",36081,Q,"1,072,026","1,016,809","979,103","665,750",761816,382607,"-379,209",-49.80%,378
40 St-Lowery St (7),36081,Q,"3,421,569","3,399,567","3,261,769","3,048,104",3074342,1236614,"-1,837,728",-59.80%,170
"46 St (M,R)",36081,Q,"2,956,981","2,904,517","2,781,811","2,711,011",2609445,1052114,"-1,557,331",-59.70%,193
46 St-Bliss St (7),36081,Q,"4,593,351","4,541,003","4,303,987","4,058,815",4019044,1769578,"-2,249,466",-56.00%,102
52 St (7),36081,Q,"2,177,884","2,131,770","2,027,659","1,883,246",1907368,847430,"-1,059,938",-55.60%,237
"63 Dr-Rego Park (M,R)",36081,Q,"5,244,226","5,219,811","4,991,559","4,769,745",4753706,1954647,"-2,799,059",-58.90%,88
"65 St (M,R)",36081,Q,"1,192,281","1,183,534","1,120,703","1,129,031",1098148,465309,"-632,839",-57.60%,354
"67 Av (M,R)",36081,Q,"2,853,794","2,807,769","2,695,321","2,592,645",2641450,1021518,"-1,619,932",-61.30%,200
69 St (7),36081,Q,"1,629,526","1,643,806","1,602,770","1,510,410",1564387,743488,"-820,899",-52.50%,268
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",36081,Q,"17,224,537","17,301,839","17,095,073","16,994,358",17077862,7523538,"-9,554,324",-55.90%,9
"75 Av (E,F)",36081,Q,"1,136,305","1,102,600","994,127","1,019,978",1059027,395084,"-663,943",-62.70%,374
"75 St-Elderts Ln (J,Z)",36081,Q,"1,196,186","1,187,714","1,069,608","992,267",1029388,516795,"-512,593",-49.80%,332
80 St (A),36081,Q,"1,465,264","1,098,234","1,346,296","1,332,047",1298825,552808,"-746,017",-57.40%,324
82 St-Jackson Hts (7),36081,Q,"5,128,506","5,089,971","5,018,542","4,741,470",4893865,2297896,"-2,595,969",-53.00%,67
85 St-Forest Pkwy (J),36081,Q,"1,239,793","1,237,770","1,156,600","1,063,133",1061293,546685,"-514,608",-48.50%,326
88 St (A),36081,Q,"1,011,163","952,251","880,776","855,851",853110,384745,"-468,365",-54.90%,377
90 St-Elmhurst Av (7),36081,Q,"5,489,630","5,471,961","5,460,868","5,245,160",5272683,2661934,"-2,610,749",-49.50%,54
Aqueduct Racetrack (A),36081,Q,"672,734","676,971","641,464","732,091",601436,168737,"-432,699",-71.90%,414
Aqueduct-North Conduit Av (A),36081,Q,"365,488","342,494","309,029","276,067",263422,107146,"-156,276",-59.30%,421
"Astoria Blvd (N,W)",36081,Q,"3,926,062","3,894,399","3,988,480","4,226,298",723354,1053976,"330,622",45.70%,191
"Astoria-Ditmars Blvd (N,W)",36081,Q,"5,407,027","5,429,314","5,031,462","4,543,854",5277341,1996236,"-3,281,105",-62.20%,85
"Beach 105 St (A,S)",36081,Q,"99,254","95,469","97,654","92,852",88439,37750,"-50,689",-57.30%,423
Beach 25 St (A),36081,Q,"570,312","601,116","582,975","543,839",517164,258136,"-259,028",-50.10%,404
Beach 36 St (A),36081,Q,"296,860","305,816","298,395","275,165",292305,149257,"-143,048",-48.90%,417
Beach 44 St (A),36081,Q,"197,543","212,440","214,473","216,609",215701,109448,"-106,253",-49.30%,420
Beach 60 St (A),36081,Q,"801,015","794,595","726,189","630,038",623826,313416,"-310,410",-49.80%,398
Beach 67 St-Arverne By The Sea (A),36081,Q,"799,134","811,248","792,444","669,421",718008,366760,"-351,248",-48.90%,382
"Beach 90 St (A,S)",36081,Q,"333,006","335,515","411,887","382,766",348771,129188,"-219,583",-63.00%,418
"Beach 98 St (A,S)",36081,Q,"214,040","203,795","180,588","154,620",164130,63297,"-100,833",-61.40%,422
"Briarwood-Van Wyck Blvd (E,F)",36081,Q,"1,479,278","1,515,926","1,489,396","1,462,744",1501152,627403,"-873,749",-58.20%,304
"Broad Channel (A,S)",36081,Q,"91,766","91,208","87,774","82,248",90358,35837,"-54,521",-60.30%,424
"Broadway (N,W)",36081,Q,"4,300,632","4,189,306","4,060,805","2,436,810",3038655,1463280,"-1,575,375",-51.80%,132
"Court Sq (E,G,M,7)",36081,Q,"6,730,837","6,809,217","7,003,218","7,218,939",7033377,2368959,"-4,664,418",-66.30%,64
"Elmhurst Av (M,R)",36081,Q,"4,350,714","4,268,747","4,039,686","3,898,046",3867341,1706575,"-2,160,766",-55.90%,109
Far Rockaway-Mott Av (A),36081,Q,"1,576,988","1,572,694","1,472,005","1,376,087",1347765,709394,"-638,371",-47.40%,282
Flushing-Main St (7),36081,Q,"19,082,391","19,257,879","18,746,832","17,799,862",17568837,6944923,"-10,623,914",-60.50%,10
Forest Av (M),36081,Q,"1,317,289","1,316,296","796,742","927,801",1310163,609687,"-700,476",-53.50%,310
"Forest Hills-71 Av (E,F,M,R)",36081,Q,"8,654,547","8,581,096","8,748,221","8,115,385",8027234,3100667,"-4,926,567",-61.40%,41
Fresh Pond Rd (M),36081,Q,"1,806,429","1,831,889","1,198,376","1,400,512",1776084,841585,"-934,499",-52.60%,239
"Grand Av-Newtown (M,R)",36081,Q,"5,995,764","6,057,028","5,792,378","5,713,827",5730846,2394479,"-3,336,367",-58.20%,62
Howard Beach-JFK Airport (A),36081,Q,"1,041,816","1,012,067","1,123,405","1,154,695",1171303,325750,"-845,553",-72.20%,394
Hunters Point Av (7),36081,Q,"1,848,769","1,994,002","1,999,970","1,932,478",1885928,705574,"-1,180,354",-62.60%,284
"Jamaica Center-Parsons-Archer (E,J,Z)",36081,Q,"12,622,977","12,470,914","11,604,228","10,681,269",10010419,4284646,"-5,725,773",-57.20%,24
Jamaica-179 St (F),36081,Q,"6,898,938","6,783,119","6,463,698","6,270,766",6262449,2741359,"-3,521,090",-56.20%,50
Jamaica-Van Wyck (E),36081,Q,"1,545,016","1,536,716","1,555,962","1,502,672",1412179,807093,"-605,086",-42.80%,250
Junction Blvd (7),36081,Q,"7,064,435","7,249,912","7,084,849","6,896,657",6883317,3622647,"-3,260,670",-47.40%,30
"Kew Gardens-Union Turnpike (E,F)",36081,Q,"8,354,731","8,109,611","7,811,007","7,680,149",7625674,3054242,"-4,571,432",-59.90%,45
Mets-Willets Point (7),36081,Q,"2,120,859","2,004,343","1,873,789","1,756,825",2025162,311888,"-1,713,274",-84.60%,399
Middle Village-Metropolitan Av (M),36081,Q,"1,361,246","1,365,048","875,782","954,875",1090449,514007,"-576,442",-52.90%,333
"Northern Blvd (M,R)",36081,Q,"2,282,296","2,264,100","2,140,551","2,097,374",2008091,902165,"-1,105,926",-55.10%,227
Ozone Park-Lefferts Blvd (A),36081,Q,"2,224,331","2,351,557","2,306,419","2,296,755",2216647,1019115,"-1,197,532",-54.00%,201
Parsons Blvd (F),36081,Q,"2,094,007","2,063,042","1,998,650","2,003,517",2086114,1089861,"-996,253",-47.80%,183
"Queens Plaza (E,M,R)",36081,Q,"3,101,888","3,124,028","3,374,948","3,886,574",4334290,1422188,"-2,912,102",-67.20%,137
"Queensboro Plaza (N,W,7)",36081,Q,"3,773,168","4,105,500","4,566,287","5,079,051",5018211,1790223,"-3,227,988",-64.30%,98
Rockaway Blvd (A),36081,Q,"1,729,268","2,382,252","2,371,645","2,336,304",2299903,1040869,"-1,259,034",-54.70%,195
"Rockaway Park-Beach 116 St (A,S)",36081,Q,"255,542","250,220","235,691","240,483",228144,110133,"-118,011",-51.70%,419
Seneca Av (M),36081,Q,"842,069","854,251","454,373","565,714",1080829,474806,"-606,023",-56.10%,347
"Steinway St (M,R)",36081,Q,"4,779,346","4,703,321","4,733,777","5,075,623",4715335,1768131,"-2,947,204",-62.50%,104
Sutphin Blvd (F),36081,Q,"1,506,607","1,414,334","1,338,831","1,303,795",1345420,702013,"-643,407",-47.80%,286
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",36081,Q,"7,767,728","7,904,869","7,457,153","7,282,128",7354064,2951061,"-4,403,003",-59.90%,46
Vernon Blvd-Jackson Av (7),36081,Q,"4,462,652","4,877,185","4,821,191","4,493,326",4623070,1768317,"-2,854,753",-61.80%,103
"Woodhaven Blvd (J,Z)",36081,Q,"1,551,590","1,513,298","1,512,676","1,370,889",1337787,681796,"-655,991",-49.00%,291
"Woodhaven Blvd (M,R)",36081,Q,"7,120,037","7,144,921","6,871,409","6,509,386",6381132,2634483,"-3,746,649",-58.70%,55
Woodside-61 St (7),36081,Q,"5,432,682","5,511,564","5,457,171","5,282,486",5345369,2391083,"-2,954,286",-55.30%,63
